"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","CNRM-CM6-1-HR",2092,106.583333333333
"SSP1 2050","CNRM-CM6-1-HR",2093,107
"SSP1 2050","CNRM-CM6-1-HR",2094,102.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2095,119
"SSP1 2050","CNRM-CM6-1-HR",2096,85.5416666666667
"SSP1 2050","CNRM-CM6-1-HR",2097,119.041666666667
"SSP1 2050","CNRM-CM6-1-HR",2098,103.375
"SSP1 2050","CNRM-CM6-1-HR",2099,99.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2100,94.125
"SSP1 2050","CNRM-ESM2-1",2001,NA
"SSP1 2050","CNRM-ESM2-1",2002,117.208333333333
"SSP1 2050","CNRM-ESM2-1",2003,110.041666666667
"SSP1 2050","CNRM-ESM2-1",2004,103.916666666667
"SSP1 2050","CNRM-ESM2-1",2005,99.9583333333333
"SSP1 2050","CNRM-ESM2-1",2006,97
"SSP1 2050","CNRM-ESM2-1",2007,102
"SSP1 2050","CNRM-ESM2-1",2008,104.708333333333
"SSP1 2050","CNRM-ESM2-1",2009,102.125
"SSP1 2050","CNRM-ESM2-1",2010,101.291666666667
"SSP1 2050","CNRM-ESM2-1",2011,102.916666666667
"SSP1 2050","CNRM-ESM2-1",2012,108.791666666667
"SSP1 2050","CNRM-ESM2-1",2013,102.916666666667
"SSP1 2050","CNRM-ESM2-1",2014,110.041666666667
"SSP1 2050","CNRM-ESM2-1",2015,122.041666666667
"SSP1 2050","CNRM-ESM2-1",2016,109
"SSP1 2050","CNRM-ESM2-1",2017,103.833333333333
"SSP1 2050","CNRM-ESM2-1",2018,108.083333333333
"SSP1 2050","CNRM-ESM2-1",2019,120.208333333333
"SSP1 2050","CNRM-ESM2-1",2020,102.291666666667
"SSP1 2050","CNRM-ESM2-1",2021,102.041666666667
"SSP1 2050","CNRM-ESM2-1",2022,97.375
"SSP1 2050","CNRM-ESM2-1",2023,105
"SSP1 2050","CNRM-ESM2-1",2024,104.458333333333
"SSP1 2050","CNRM-ESM2-1",2025,106.291666666667
"SSP1 2050","CNRM-ESM2-1",2026,94.9166666666667
"SSP1 2050","CNRM-ESM2-1",2027,93.1666666666667
"SSP1 2050","CNRM-ESM2-1",2028,94.4583333333333
"SSP1 2050","CNRM-ESM2-1",2029,97.9583333333333
"SSP1 2050","CNRM-ESM2-1",2030,110.916666666667
