"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"341",10,-13,6,0.337645375406029,0.0549049556790788
"342",10,-13,7,0.378065105365467,0.14867386219446
"343",10,-13,8,0.36731215771851,0.294298552688439
"344",10,-13,9,0.361467481747412,0.494311716892036
"345",10,-13,10,0.361586915067136,0.752443362740737
"346",10,-13,11,0.38451905579127,1.06417317809814
"347",10,-13,12,0.357490651588328,1.42287680394925
"348",10,-13,13,0.326327259753169,1.82234758614326
"349",10,-13,14,0.29520706913046,2.25667032609528
"350",10,-13,15,0.32210665312272,2.71908445666127
"351",10,-13,16,0.344863297031935,3.20178579530643
"352",10,-13,17,0.342774949415821,3.69606819031767
"353",10,-13,18,0.304080412403839,4.19255767868075
"354",10,-13,19,0.254024885430566,4.68152741596695
"355",10,-13,20,0.16732271313747,5.15386081250269
"356",10,-13,21,0.0974847797624847,5.60111706177279
"357",10,-13,22,0,6.01580670869665
"358",10,-13,23,0,6.39163376852347
"359",10,-13,24,0,6.72335581343185
"360",10,-13,25,0,5.95474636751727
"361",10,-13,26,0,4.26664905219938
"362",10,-13,27,0,4.50217613296482
"363",10,-13,28,0,3.57929154858057
"364",10,-13,29,0,2.91393667124758
"365",10,-13,30,0,3.10441542608717
"366",10,-12,-12,0,0
"367",10,-12,-11,0,0
"368",10,-12,-10,0,0
"369",10,-12,-9,0,0
"370",10,-12,-8,0,0
"371",10,-12,-7,0,0
"372",10,-12,-6,0,0
"373",10,-12,-5,0,0
"374",10,-12,-4,0,0
"375",10,-12,-3,0,0
"376",10,-12,-2,0.0000000389861182179579,0
"377",10,-12,-1,0.000000832389861200439,0
"378",10,-12,0,0.0000163743162842096,0
"379",10,-12,1,0.000314623899727842,0
"380",10,-12,2,0.00584779628173598,0
"381",10,-12,3,0.0891021181939983,0
"382",10,-12,4,0.311957911181618,0
"383",10,-12,5,0.362414241802446,0.0106119385278527
"384",10,-12,6,0.346607635003054,0.0564854212939308
"385",10,-12,7,0.38550254743306,0.152711184490265
"386",10,-12,8,0.357001308815911,0.301167297496514
"387",10,-12,9,0.36921099351402,0.506408327279742
"388",10,-12,10,0.376099731360758,0.770291020159709
"389",10,-12,11,0.378999074098918,1.08743827793005
"390",10,-12,12,0.343231532081046,1.45153861990104
"391",10,-12,13,0.347800163274473,1.85715116902967
"392",10,-12,14,0.336260592829381,2.29833999376367
"393",10,-12,15,0.347040043207421,2.76809477855979
"394",10,-12,16,0.352227262882352,3.25811917379606
"395",10,-12,17,0.345352873402135,3.75929375312058
"396",10,-12,18,0.294432236344541,4.2617338114395
"397",10,-12,19,0.251633268126015,4.75589438673774
"398",10,-12,20,0.192180987459972,5.23280352395374
"399",10,-12,21,0.097904519929197,5.6842868083011
"400",10,-12,22,0,6.10325274520926
"401",10,-12,23,0,6.4835428301814
"402",10,-12,24,0,6.81958934717784
"403",10,-12,25,0,5.97672753784811
"404",10,-12,26,0,4.36961644875411
"405",10,-12,27,0,4.60749728043384
